Component Count:,61,,,,,,,,,,,,
Ref,Qnty,Value,Footprint,Ordered,Supplier 1,Supplier 1 PN,Supplier 1 Price,Supplier 2,Supplier 2 PN,Supplier 2 Price,Supplier 3,Supplier 3 PN,Supplier 3 Price
"C1, C2, C7, C8, ",4,12pF,Capacitor_SMD:C_0402_1005Metric,100,LCSC,C26406,£0.004686,,,,,,
"C3, C4, C12, C13, C16, C17, C22, C23, C26, C27, C29, ",11,10uF,Capacitor_SMD:C_0805_2012Metric,40,LCSC,C15850,£0.021142,,,,,,
"C5, C6, C9, ",3,100nF,Capacitor_SMD:C_0402_1005Metric,100,LCSC,C1525,£0.003408,,,,,,
"C10, C11, C18, C19, C20, C21, ",6,1uF,Capacitor_SMD:C_0603_1608Metric,50,LCSC,C1592,£0.008709,,,,,,
"C14, C15, ",2,4.7uF,Capacitor_SMD:C_0805_2012Metric,20,LCSC,C19666,£0.014611,,,,,,
"C24, C25, ",2,10nF,Capacitor_SMD:C_0402_1005Metric,100,LCSC,C482489,£0.001644,,,,,,
"C28, ",1,100uF,Capacitor_SMD:C_1206_3216Metric,3,LCSC,C312983,£0.254946,,,,,,
"D1, ",1,LED,LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm,5,Mouser,941-C566DBFFCU0W0351,£0.147,,,,,,
"F1, ",1,250mA,Fuse:Fuse_1206_3216Metric,3,LCSC,C207239,£0.224739,,,,,,
"FB1, FB2, ",2,100R@100MHz,Resistor_SMD:R_0603_1608Metric,100,LCSC,C369539,£0.001919,,,,,,
"FL1, FL2, ",2,SRF0905A-102Y,Filter:Filter_Bourns_SRF0905_6.0x9.2mm,6,LCSC,C113524,£0.984742,,,,,,
"J1, ",1,SJ-3523,Connector_Audio:Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,10,Mouser,490-SJ-3523-SMT-TR,£0.704,Digikey,CP-3523SJCT-ND,£0.79,,,
"J2, ",1,PJ-036AH,Connector_BarrelJack:BarrelJack_CUI_PJ-036AH-SMT_Horizontal,6,Digikey,CP-036AHPJCT-ND,£1.08,,,,,,
"R1, ",1,82R,Resistor_SMD:R_0805_2012Metric,100,LCSC,C101882,£0.00191,,,,,,
"R2, R3, R6, R11, R12, R13, ",6,2K,Resistor_SMD:R_0402_1005Metric,100,LCSC,C60488,£0.000488,,,,,,
"R4, ",1,10K5,Resistor_SMD:R_0402_1005Metric,100,LCSC,C304570,£0.000653,,,,,,
"R5, ",1,3K57,Resistor_SMD:R_0402_1005Metric,100,LCSC,C270609,£0.000407,,,,,,
"R7, ",1,1K15,Resistor_SMD:R_0402_1005Metric,100,LCSC,C100214,£0.000489,,,,,,
"R8, ",1,R,Resistor_SMD:R_1210_3225Metric,50,LCSC,C105018,£0.004029,,,,,,
"R9, R10, ",2,560R,Resistor_SMD:R_0402_1005Metric,100,LCSC,C163460,£0.002272,,,,,,
"R14, ",1,10K,Resistor_SMD:R_0402_1005Metric,100,LCSC,C60490,£0.000888,,,,,,
"R15, ",1,240R,Resistor_SMD:R_0402_1005Metric,100,LCSC,C168215,£0.000975,,,,,,
"R16, ",1,910R,Resistor_SMD:R_0402_1005Metric,100,LCSC,C44933,£0.000428,,,,,,
"U1, U3, ",2,ADS8681RUM,Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm,4,Mouser,595-ADS8681IRUMT,£7.86,Digikey,296-50907-1-ND,£6.66,TI Direct,ADS8681IRUMT,£5.62
"U2, ",1,TPS7A8801RTJT,ProjectLib:QFN50P400X400X80-21N,3,LCSC,C485919,£1.64,Farnell,2522578,£2.00,Mouser,595-TPS7A8801RTJR,£2.36
"U4, ",1,W25Q32JVSS,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm,3,LCSC,C179173,£0.31,Mouser,454-W25Q32JVSSIQ,£0.534,Digikey,W25Q32JVSSIQ-ND,£0.53
"U5, ",1,LM1117-ADJ,Package_TO_SOT_SMD:SOT-223-3_TabPin2,3,LCSC,C263277,£0.403563,Farnell,3007507,£0.836,Mouser,926-LM1117MP-ADJNOPB,£0.851
